task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
73	b6/8b86fa	79669	NplshCombine	COMPLETED	0	2021-04-17 19:14:39.623	39.9s	2.5s	71.5%	2.2 MB	224.9 MB	437.1 MB	429.1 MB
71	94/475415	79668	Tombo (MB7200K)	COMPLETED	0	2021-04-17 19:13:09.654	7m 20s	7m 7s	518.7%	13.5 GB	549.4 GB	6.8 GB	3.2 GB
53	19/b1e42a	79647	Resquiggle (MB8000K)	COMPLETED	0	2021-04-17 18:36:48.060	48m 11s	39m 48s	719.2%	207.3 GB	223.2 GB	19.6 GB	16.1 GB
58	1b/e770de	79653	DeepSignal (MB1600K)	COMPLETED	0	2021-04-17 18:42:14.553	47m 45s	38m 37s	775.3%	7.8 GB	18 GB	5.3 GB	1006.9 MB
59	f7/94341c	79655	DeepSignal (MB2400K)	COMPLETED	0	2021-04-17 18:46:54.563	43m 45s	37m 22s	766.9%	8.3 GB	19 GB	6.1 GB	1.4 GB
75	11/c8c894	79671	Tombo (MB8000K)	COMPLETED	0	2021-04-17 19:24:59.678	8m	7m 48s	530.6%	14.5 GB	551.7 GB	7.6 GB	3.8 GB
76	b6/e6f322	79672	TomboCombine	COMPLETED	0	2021-04-17 19:32:59.685	24.8s	916ms	15.2%	6 MB	220.2 MB	232.3 MB	232.3 MB
24	4b/322727	79620	DeepMod (MB800K)	COMPLETED	0	2021-04-17 18:32:34.383	1h 1m	1h 37s	441.3%	13.7 GB	20.4 GB	9.2 GB	3.2 GB
62	ef/79cdfc	79658	DeepSignal (MB3200K)	COMPLETED	0	2021-04-17 18:52:14.618	1h 3m 40s	57m 33s	784.2%	8.8 GB	19.6 GB	7.1 GB	1.9 GB
28	a3/a4d61a	79624	DeepMod (MB1600K)	COMPLETED	0	2021-04-17 18:33:19.588	1h 26m 30s	1h 25m 53s	606.5%	18.9 GB	27.4 GB	18.2 GB	6.3 GB
66	27/5ae3e9	79662	DeepSignal (MB4800K)	COMPLETED	0	2021-04-17 19:00:04.624	1h 17m 40s	1h 17m 23s	767.7%	9.8 GB	20.6 GB	8.9 GB	2.8 GB
