#fqName	Prefix	Read1	replicate
/projects/li-lab/yang/results/2020-12-21/EncodeMethyl/NA19240/ENCSR000DGG_new_analysis/ENCFF000LZS.fastq.gz	NA19240_RRBS_ENCFF000LZS_rep1	R1	1
/projects/li-lab/yang/results/2020-12-21/EncodeMethyl/NA19240/ENCSR000DGG_new_analysis/ENCFF000LZT.fastq.gz	NA19240_RRBS_ENCFF000LZT_rep2	R1	2
